policy_index,policy_name,policy_json,label,backend_counts
0,policy_000_dense,artifacts/debug/024_fakevlm_prefill_global_pareto/smoke/policies/stratified/policy_000_dense.json,dense,{'dense_bf16': 2}
1,policy_001_dense_nvfp4_r0,artifacts/debug/024_fakevlm_prefill_global_pareto/smoke/policies/stratified/policy_001_dense_nvfp4_r0.json,dense_nvfp4_ratio_0,{'dense_bf16': 2}
2,policy_002_dense_nvfp4_r0.05,artifacts/debug/024_fakevlm_prefill_global_pareto/smoke/policies/stratified/policy_002_dense_nvfp4_r0.05.json,dense_nvfp4_ratio_0.05,{'dense_bf16': 2}
3,policy_003_dense_nvfp4_r0.1,artifacts/debug/024_fakevlm_prefill_global_pareto/smoke/policies/stratified/policy_003_dense_nvfp4_r0.1.json,dense_nvfp4_ratio_0.1,{'dense_bf16': 2}
